Stock,Comment,Commented By,Timestamp
Deepak Nitrite,"DNL  July,August,Saptember  This  months  DNL  manufacturing  products  price  go  to  upto  45%  Avrage",Deepak Nitrite,07-11-2024 11:16
Deepak Nitrite,thats  great  ????  but  watz  ur  thought  it  will  be  going  down?  or  it  will  be  break  2500  level!!,Deepak Nitrite,07-11-2024 12:44
Deepak Nitrite,so  what  is  the  impact?  going  up?,Deepak Nitrite,07-11-2024 14:17
Deepak Nitrite,if  margine  goes   will  be  hammered  5-8  %...............,Deepak Nitrite,07-11-2024 14:48
Deepak Nitrite,last  quarter  I  hope  it  not  be  bcos..  Israel  conflict  highly  bromine  demand  in  global..  DNL  production  25%  on  it,Deepak Nitrite,07-11-2024 15:36
Deepak Nitrite,Is  the  result  out?  I  see  net  profit  after  taxes  to  be  of  Rs.174.47  Cr  on  Livemint.  Is  it  correct?,Deepak Nitrite,07-11-2024 18:54
Deepak Nitrite,"great  results,  EBIDTA  Margins  at  17%  looks  extremely  awsum....  will  eventually  fly  to  2300  from  here....  management  commentary  important...  future  timelines  of  commissioning  of  new  projects  needs  to  be  looked  at....",Deepak Nitrite,07-11-2024 19:10
Deepak Nitrite,Posted  net  profit  more  than  200  crores.  may  be  tomorrow  UC  chances.,Deepak Nitrite,07-11-2024 19:16
Deepak Nitrite,"#Q2WithETNOW  |  Deepak  Nitrite  cons  PAT  at  Rs.205.1  cr  vs  Rs.174.5  cr,  up  17.5%  YoY",Deepak Nitrite,07-11-2024 19:16
Deepak Nitrite,"PAT  up  17.5%  YoY  with  margin  expansion,  awesome  no.  posted  by  DN",Deepak Nitrite,07-11-2024 19:18
Deepak Nitrite,Bumper  results  posted  by  DN.  It  will  cross  2500  in  the  coming  quarter.,Deepak Nitrite,07-11-2024 19:27
Deepak Nitrite,cant  say  something  now.  No  improvement  in  revenue.  standalone  revenue  reduced  from  last  quarter  and  consolidated  revenue  also  less  YoY.  Only  improvement  in  PAT.  But  after  a  long  time  little  positive  also  matters  a  lot.  I  feel  the  journey  will  start  from  tomorrow.  all  the  best.,Deepak Nitrite,07-11-2024 19:45
Deepak Nitrite,tomorrow  may  be  uc  in  dipak  nitrite,Deepak Nitrite,07-11-2024 19:50
Deepak Nitrite,"Net  profit  is  Rs.  205  crore  compared  to  149crore  in  last  quarter  and  175  crore  in  Sept,  2022",Deepak Nitrite,07-11-2024 19:56
Deepak Nitrite,"Deepak  Nitrite  Q2  Results,  Profit  Rises  17  percent,  Beats  Estimates",Deepak Nitrite,07-11-2024 20:16
Deepak Nitrite,bought  28000  call  of  2200  today  due  to  mkt  fall  1  lac  loss  what  will  happen  tomorrow,Deepak Nitrite,07-11-2024 20:18
Deepak Nitrite,"Q2WithBQPrime,  Deepak  Nitrite  Q2  Results  Profit  Rises  17  percent  to  205cr,  Beats  Estimates",Deepak Nitrite,07-11-2024 20:21
Deepak Nitrite,this  is  not  a  short  term  play.  remain  invested  for  a  long  time  and  reap  good  benefits.  very  professional  management.,Deepak Nitrite,07-11-2024 20:28
Deepak Nitrite,It  will  be  open  on  4L  Profit  on  tomo  morning  dont  worry..  enjoy  te  diwali,Deepak Nitrite,07-11-2024 21:05
Deepak Nitrite,immediately  sell  Deepak  for  lower  tgt  is  near  2225rs,Deepak Nitrite,07-12-2024 13:05
Deepak Nitrite,"This  will  be  going  towards  2300  now,  in  positive  market  this  didnt  shown  the  positiveness  and  then  from  last  3  market  negative  sessions  this  keep  decrementing,  so  I  cant  see  any  growth  in  short  term  even  me  in  loss  but  may  think  downfall  in  coming  weeks.",Deepak Nitrite,08-01-2025 15:42
Deepak Nitrite,this  may  now  go  back  to  2250-2100,Deepak Nitrite,08-01-2025 17:58
Deepak Nitrite,majority  stake  now  hold  by  dpk  nitrite  in  oman  deepak  ind.  ltd(  odil).  now  with  51%  stake  its  subsidiary  of  dpk  nitrite.  good  disclosure  by  company.  tred  always  positive  in  future,Deepak Nitrite,08-01-2025 20:19
Deepak Nitrite,2219  very  strong  support  for  deepak  nitrite,Deepak Nitrite,08-02-2025 12:56
Deepak Nitrite,on  what  basis  you  have  given  2150  target,Deepak Nitrite,08-03-2025 16:28
